title,author,binding,raw_price,original_price,discount_pct,in_stock,category,product_url
Reimagining Operational Excellence: Inspirations from...,"Kotler, Philip",Hardcover,"Rp 455,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781394239245/reimagining-operational-excellence-inspirations-from-asia?path=1_13
The Making of a Manager : What to Do When Everyone...,"Zhuo, Julie",Paperback,"Rp 305,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780753562451/the-making-of-a-manager-what-to-do-when-everyone-looks-to-you?path=1_13
How AI Will Change Your Life: A Futurist's Guide to...,"Dixon, Patrick",Paperback,"Rp 328,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781805222576/how-ai-will-change-your-life-a-futurist-s-guide-to-a-super-smart-world?path=1_13
What You Do Is Who You Are,"Horowitz, Ben",Paperback,"Rp 285,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780008740696/what-you-do-is-who-you-are?path=1_13
The Decision Book : Fifty models for strategic thinking...,"Tschappeler, Roman",Hardcover,"Rp 285,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781800815209/the-decision-book-fifty-models-for-strategic-thinking-new-edition?path=1_13
The Negotiation Book: Practical Steps to Becoming ...,"Soames, Nicole",Paperback,"Rp 238,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781915951694/the-negotiation-book-practical-steps-to-becoming-a-masterful-negotiator?path=1_13
The Attitude Book: 50 Ways to Positively Affect Your...,"Tyler, Simon",Paperback,"Rp 238,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781915951892/the-attitude-book-50-ways-to-positively-affect-your-work-and-life?path=1_13
Rich Family Smart Family: Raise Your Family's Financial...,"Kiyosaki, Robert",Paperback,"Rp 420,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781612681337/rich-family-smart-family-raise-your-family-s-financial-iq-and-take-control-of-your-future?path=1_13
Manage Yourself to Lead Others pb US,by Margaret C. Andrews,Paperback,"Rp 398,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781541608894/manage-yourself-to-lead-others-pb-us?path=1_13
The Art of Physics : How ideas from science can transform...,"Bharmal, Zahaan",Paperback,"Rp 250,000","Rp 270,000",-7%,1,Business & Self-Help,http://www.periplus.com/p/9781804186466/the-art-of-physics-how-ideas-from-science-can-transform-your-life?path=1_13
The Kremlin School of Negotiation,"Ryzov, Igor",Paperback,"Rp 395,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781838852917/the-kremlin-school-of-negotiation?path=1_13
What's Your Dream?,"Squibb, Simon",Paperback,"Rp 420,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781529935585/what-s-your-dream?path=1_13
The Book of Money: How to Feel Good (or Better) about...,Monzo,Paperback,"Rp 260,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781804948668/the-book-of-money-how-to-feel-good-or-better-about-your-finances?path=1_13
Hbr's 10 Must Reads 2026: The Definitive Management...,"Review, Harvard Business",Paperback,"Rp 538,000",,,1,Business & Self-Help,http://www.periplus.com/p/9798892791946/hbr-s-10-must-reads-2026-the-definitive-management-ideas-of-the-year-from-harvard-business-review-featuring-the-strategic-genius-of-taylor-swift-by?path=1_13
Women Living Deliciously,"Given, Florence",Paperback,"Rp 474,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781914240515/women-living-deliciously?path=1_13
The Soft Skills Book: The Key Difference to Becoming...,"White, Dan",Paperback,"Rp 238,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781915951755/the-soft-skills-book-the-key-difference-to-becoming-highly-effective-and-valued?path=1_13
The Smart Marketing Book PB: The Definitive Guide ...,"White, Dan",Paperback,"Rp 238,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781915951717/the-smart-marketing-book-pb-the-definitive-guide-to-effective-marketing-strategies?path=1_13
The Trader's Handbook: Winning Habits and Routines...,"Moglen, Richard",Hardcover,"Rp 698,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781804090183/the-trader-s-handbook-winning-habits-and-routines-of-successful-traders?path=1_13
The Simple Path to Wealth: Your Road Map to Financial...,"Collins, J. L.",Hardcover,"Rp 540,000",,,1,Business & Self-Help,http://www.periplus.com/p/9798893310474/the-simple-path-to-wealth-your-road-map-to-financial-independence-and-a-rich-free-life?path=1_13
Wisdom Takes Work: Learn. Apply. Repeat.,"Holiday, Ryan",Hardcover,"Rp 289,000","Rp 375,000",-23%,1,Business & Self-Help,http://www.periplus.com/p/9780593191736/wisdom-takes-work-learn-apply-repeat?path=1_13
The Leader You Want to Be: Five Essential Principles...,"Su, Amy Jen",Hardcover,"Rp 601,000",,,0,Business & Self-Help,http://www.periplus.com/p/9781633695917/the-leader-you-want-to-be-five-essential-principles-for-bringing-out-your-best-self-every-day?path=1_13
Die with Zero: Getting All You Can from Your Money...,"Perkins, Bill",Paperback,"Rp 398,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780358567097/die-with-zero-getting-all-you-can-from-your-money-and-your-life?path=1_13
Hacking the Human Mind: The Behavioral Science Secrets...,"Flicker, Michaelaaron",Paperback,"Rp 438,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781804091326/hacking-the-human-mind-the-behavioral-science-secrets-behind-17-of-the-world-s-best-brands?path=1_13
1929: Inside the Greatest Crash in Wall Street History...,"Sorkin, Andrew Ross",Hardcover,"Rp 545,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780593296967/1929-inside-the-greatest-crash-in-wall-street-history-and-how-it-shattered-a-nation?path=1_13
"The Year in Tech, 2026: The Insights You Need from...","Review, Harvard Business",Paperback,"Rp 425,000",,,1,Business & Self-Help,http://www.periplus.com/p/9798892791977/the-year-in-tech-2026-the-insights-you-need-from-harvard-business-review?path=1_13
The Diagrams Book 10th Anniversary Edition: 100 Ways...,"Duncan, Kevin",Paperback,"Rp 258,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781915951038/the-diagrams-book-10th-anniversary-edition-100-ways-to-solve-any-problem-visually?path=1_13
The Diary of a CEO : The 33 Laws of Business and Life...,"Bartlett, Steven",Hardcover,"Rp 428,000","Rp 536,000",-20%,1,Business & Self-Help,http://www.periplus.com/p/9781529146509/the-diary-of-a-ceo-the-33-laws-of-business-and-life?path=1_13
High Road Leadership: Bringing People Together in ...,"Maxwell, John C.",Hardcover,"Rp 254,000","Rp 520,000",-51%,1,Business & Self-Help,http://www.periplus.com/p/9798887100340/high-road-leadership-bringing-people-together-in-a-world-that-divides?path=1_13
Principles for Navigating Big Debt Crises,"Dalio, Ray",Hardcover,"Rp 950,000","Rp 1,050,000",-10%,1,Business & Self-Help,http://www.periplus.com/p/9781668009291/principles-for-navigating-big-debt-crises?path=1_13
Making Business Child's Play: How to Build a Winning...,"Jensen, Joanna",Paperback,"Rp 195,300","Rp 368,000",-47%,1,Business & Self-Help,http://www.periplus.com/p/9781398624580/making-business-child-s-play-how-to-build-a-winning-brand?path=1_13
Clear Thinking,"Parrish, Shane",Paperback,"Rp 300,000","Rp 375,000",-20%,1,Business & Self-Help,http://www.periplus.com/p/9780593854020/clear-thinking?path=1_13
The Financial Wellbeing Book: Creating Financial Peace...,"Budd, Chris",Paperback,"Rp 238,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781915951151/the-financial-wellbeing-book-creating-financial-peace-of-mind?path=1_13
"Same as Ever: Timeless Lessons on Risk, Opportunity...","Housel, Morgan",Paperback,"Rp 364,000","Rp 455,000",-20%,1,Business & Self-Help,http://www.periplus.com/p/9781804090633/same-as-ever-timeless-lessons-on-risk-opportunity-and-living-a-good-life?path=1_13
Entrepreneurial Marketing: Beyond Professionalism ...,"Kotler, Philip",Hardcover,"Rp 450,000","Rp 550,000",-18%,1,Business & Self-Help,http://www.periplus.com/p/9781119835202/entrepreneurial-marketing-beyond-professionalism-to-creativity-leadership-and-sustainability?path=1_13
Start With Why,"Sinek, Simon",Paperback,"Rp 285,000","Rp 305,000",-7%,1,Business & Self-Help,http://www.periplus.com/p/9781405977593/start-with-why?path=1_13
Are You a Team or a Meeting?,"Pope, Nick",Paperback,"Rp 295,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781800819092/are-you-a-team-or-a-meeting?path=1_13
How to Negotiate: Practical and Proven Skills to Help...,"Clayton, Mike",Paperback,"Rp 275,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781398620926/how-to-negotiate-practical-and-proven-skills-to-help-you-get-the-results-you-want?path=1_13
"Eat That Frog!, Fourth Edition: 21 Great Ways to Stop...","Tracy, Brian",Paperback,"Rp 325,000",,,1,Business & Self-Help,http://www.periplus.com/p/9798890570925/eat-that-frog-fourth-edition-21-great-ways-to-stop-procrastinating-and-get-more-done-in-less-time?path=1_13
Best Story Wins,"Edwards, Mark",Paperback,"Rp 298,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781800815773/best-story-wins?path=1_13
"Pandora's Box: How Guts, Guile, and Greed Upended ...","Biskind, Peter",Hardcover,"Rp 697,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780062991669/pandora-s-box-how-guts-guile-and-greed-upended-tv?path=1_13
Pitch: How to Captivate and Convince Any Audience ...,"Fontaine, Danny",Paperback,"Rp 360,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781805221043/pitch-how-to-captivate-and-convince-any-audience-on-the-planet?path=1_13
Nudge: The Final Edition,"Thaler, Richard H.",Paperback,"Rp 258,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780143137009/nudge-the-final-edition?path=1_13
Thinking Machine,"Witt, Stephen",Paperback,"Rp 449,000","Rp 562,000",-20%,1,Business & Self-Help,http://www.periplus.com/p/9780593834565/thinking-machine?path=1_13
The Diary of a CEO : The 33 Laws of Business and Life...,"Bartlett, Steven",Paperback,"Rp 275,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781529146523/the-diary-of-a-ceo-the-33-laws-of-business-and-life?path=1_13
Money for Couples: No More Stress. No More Fights. ...,"Sethi, Ramit",Paperback,"Rp 132,300","Rp 374,000",-65%,1,Business & Self-Help,http://www.periplus.com/p/9781523523689/money-for-couples-no-more-stress-no-more-fights-just-a-10-step-plan-to-create-your-rich-life-together?path=1_13
The 80/20 Principle : Achieve More with Less: the ...,"Koch, Richard",Paperback,"Rp 348,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781529370454/the-80-20-principle-achieve-more-with-less-the-essential-guide-to-increasing-productivity-effectiveness-and-results-us?path=1_13
"The Intelligent Investor, 3rd Ed.: The Definitive ...","Graham, Benjamin",Hardcover,"Rp 643,000","Rp 804,000",-20%,1,Business & Self-Help,http://www.periplus.com/p/9780063356726/the-intelligent-investor-3rd-ed-the-definitive-book-on-value-investing?path=1_13
"Our Dollar, Your Problem: An Insider's View of Seven...","Rogoff, Kenneth",Hardcover,"Rp 600,000","Rp 646,000",-7%,1,Business & Self-Help,http://www.periplus.com/p/9780300275315/our-dollar-your-problem-an-insider-s-view-of-seven-turbulent-decades-of-global-finance-and-the-road-ahead?path=1_13
The Rules Book : 44 Principles to Master Working Life...,"Tschappeler, Roman",Hardcover,"Rp 275,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781805225492/the-rules-book-44-principles-to-master-working-life?path=1_13
Leading at a Higher Level: Blanchard on Leadership...,"Blanchard, Ken",Paperback,"Rp 858,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780135425138/leading-at-a-higher-level-blanchard-on-leadership-and-creating-high-performing-organizations-paperback?path=1_13
The Personal MBA 10th Anniversary Edition,"Kaufman, Josh",Paperback,"Rp 385,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780525543022/the-personal-mba-10th-anniversary-edition?path=1_13
The Shock Doctrine : The Rise of Disaster Capitalism...,"Klein, Naomi",Paperback,"Rp 312,000","Rp 349,000",-11%,1,Business & Self-Help,http://www.periplus.com/p/9780141024530/the-shock-doctrine-the-rise-of-disaster-capitalism?path=1_13
Your Money: Reimagining Wealth in 101 Simple Sketches...,"Richards, Carl",Paperback,"Rp 420,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781804091715/your-money-reimagining-wealth-in-101-simple-sketches?path=1_13
Noise,"Sunstein, Cass R.",Paperback,"Rp 185,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780008534448/noise?path=1_13
The Winner's Curse : Behavioral Economics Anomalies...,"Imas, Alex O.",Hardcover,"Rp 585,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780241789681/the-winner-s-curse-behavioral-economics-anomalies-then-and-now?path=1_13
How Countries Go Broke,"Dalio, Ray",Hardcover,"Rp 650,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781398551466/how-countries-go-broke?path=1_13
Power and Progress: Our Thousand-Year Struggle Over...,"Acemoglu, Daron",Paperback,"Rp 438,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781541702547/power-and-progress-our-thousand-year-struggle-over-technology-and-prosperity?path=1_13
Smart Money: How Digital Currencies Will Shape the...,"Rosa, Brunello",Paperback,"Rp 264,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781526678492/smart-money-how-digital-currencies-will-shape-the-new-world-order?path=1_13
The Science of Scaling: Grow Your Business Bigger ...,"Hardy, Benjamin",Hardcover,"Rp 475,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781401967635/the-science-of-scaling-grow-your-business-bigger-and-faster-than-you-think-possible?path=1_13
The Visual MBA : A Quick Guide to Everything You'll...,Jason Barron,Paperback,"Rp 478,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780241386682/the-visual-mba-a-quick-guide-to-everything-you-ll-learn-in-two-years-of-business-school?path=1_13
The Modern Marketing Playbook,Kum Doreen,Paperback,"Rp 550,000",,,1,Business & Self-Help,http://www.periplus.com/p/9789819820467/the-modern-marketing-playbook?path=1_13
Distancing,"Gillespie, Michael",Paperback,"Rp 202,300","Rp 385,000",-47%,1,Business & Self-Help,http://www.periplus.com/p/9780241661659/distancing?path=1_13
Discipline Is Destiny,"Holiday, Ryan",Paperback,"Rp 285,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781788166348/discipline-is-destiny?path=1_13
"Collaborating with the Enemy, Second Edition: How ...","Kahane, Adam",Paperback,"Rp 415,000",,,1,Business & Self-Help,http://www.periplus.com/p/9798890571175/collaborating-with-the-enemy-second-edition-how-to-work-with-people-you-don-t-agree-with-or-like-or-trust?path=1_13
Free and Equal: A Manifesto for a Just Society,"Chandler, Daniel",Paperback,"Rp 188,300","Rp 350,000",-46%,1,Business & Self-Help,http://www.periplus.com/p/9780593687536/free-and-equal-a-manifesto-for-a-just-society?path=1_13
Strong Ground,"Brown, Brene",Hardcover,"Rp 384,000","Rp 498,000",-23%,1,Business & Self-Help,http://www.periplus.com/p/9781785043208/strong-ground?path=1_13
How Countries Go Broke: The Big Cycle,"Dalio, Ray",Hardcover,"Rp 650,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781501124068/how-countries-go-broke-the-big-cycle?path=1_13
Marketing 6.0: The Future Is Immersive,"Kotler, Philip",Hardcover,"Rp 450,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781119835219/marketing-6-0-the-future-is-immersive?path=1_13
"Intentionality: A Groundbreaking Guide to Breath, ...","Kelly, Finnian",Hardcover,"Rp 445,000","Rp 557,000",-20%,0,Business & Self-Help,http://www.periplus.com/p/9781401977542/intentionality-a-groundbreaking-guide-to-breath-consciousness-and-radical-self-transformation?path=1_13
HBR Guide to Retaining Your Best People,"Review, Harvard Business",Paperback,"Rp 398,000",,,1,Business & Self-Help,http://www.periplus.com/p/9798892790888/hbr-guide-to-retaining-your-best-people?path=1_13
The Economic Consequences of MR Trump: What the Trade...,"Coggan, Philip",Paperback,"Rp 195,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781805227687/the-economic-consequences-of-mr-trump-what-the-trade-war-means-for-the-world?path=1_13
ChatGPT for Dummies,"Baker, Pam",Paperback,"Rp 398,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781394314454/chatgpt-for-dummies?path=1_13
Reinvent Yourself: Psychological Insights That Will...,"Kahn, Susan",Paperback,"Rp 455,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781398613294/reinvent-yourself-psychological-insights-that-will-transform-your-work-life?path=1_13
The Happiness Project Tenth Anniversary Edition : ...,Gretchen Rubin,Paperback,"Rp 168,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780062937889/the-happiness-project-tenth-anniversary-edition-or-why-i-spent-a-year-trying-to-sing-in-the-morning-clean-my-closets-fight-right-read-aristotle?path=1_13
Money,"McWilliams, David",Paperback,"Rp 238,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781471195464/money?path=1_13
Principles: Life and Work,"Dalio, Ray",Hardcover,"Rp 698,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781501124020/principles-life-and-work?path=1_13
I Survived Capitalism and All I Got Was This Lousy...,"Pendleton, Madeline",Hardcover,"Rp 34,300","Rp 398,000",-91%,1,Business & Self-Help,http://www.periplus.com/p/9780385549783/i-survived-capitalism-and-all-i-got-was-this-lousy-t-shirt-everything-i-wish-i-never-had-to-learn-about-money?path=1_13
Range,"Epstein, David",Paperback,"Rp 235,000","Rp 294,000",-20%,1,Business & Self-Help,http://www.periplus.com/p/9781035053049/range?path=1_13
The Six Disciplines of Strategic Thinking : Leading...,"Watkins, Michael",Paperback,"Rp 364,000","Rp 455,000",-20%,1,Business & Self-Help,http://www.periplus.com/p/9781529146585/the-six-disciplines-of-strategic-thinking-leading-your-organization-into-the-future?path=1_13
"Step Up, Step Back: How to Really Deliver Strategic...","Johnson, Elsbeth",Paperback,"Rp 223,300","Rp 418,000",-47%,1,Business & Self-Help,http://www.periplus.com/p/9781399424677/step-up-step-back-how-to-really-deliver-strategic-change-in-your-organization?path=1_13
The Full Freezer Method : Five Steps to Transform ...,"Hall, Kate",Hardcover,"Rp 406,000","Rp 508,000",-20%,1,Business & Self-Help,http://www.periplus.com/p/9781529912180/the-full-freezer-method-five-steps-to-transform-how-you-shop-cook-and-live?path=1_13
Talk Like TED,"Gallo, Carmine",Paperback,"Rp 308,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781529068658/talk-like-ted?path=1_13
The Smart Strategy Book: 50 Ways to Solve Tricky Business...,"Duncan, Kevin",Paperback,"Rp 235,000",,,0,Business & Self-Help,http://www.periplus.com/p/9781917391054/the-smart-strategy-book-50-ways-to-solve-tricky-business-issues?path=1_13
The Babylon Blueprint: Timeless Strategies for Wealth...,"Hancock, David L.",Paperback,"Rp 167,300","Rp 315,000",-47%,1,Business & Self-Help,http://www.periplus.com/p/9781636987811/the-babylon-blueprint-timeless-strategies-for-wealth-wisdom-and-well-being?path=1_13
The Art of War: The Definitive Interpretation of Sun...,"Tzu, Sun",Hardcover,"Rp 268,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780804854351/the-art-of-war-the-definitive-interpretation-of-sun-tzu-s-classic-book-of-strategy?path=1_13
"You Belong Here: The Power of Being Seen, Heard, and...","Dabbs, Kim",Paperback,"Rp 393,000","Rp 492,000",-20%,0,Business & Self-Help,http://www.periplus.com/p/9781523005895/you-belong-here-the-power-of-being-seen-heard-and-valued-on-your-own-terms?path=1_13
The 21 Irrefutable Laws of Leadership - International...,"Maxwell, John C.",Paperback,"Rp 294,400","Rp 374,000",-21%,1,Business & Self-Help,http://www.periplus.com/p/9781400237883/the-21-irrefutable-laws-of-leadership-international-edition-follow-them-and-people-will-follow-you?path=1_13
500 Great Ways to Save for Dummies,The Experts at Aarp,Paperback,"Rp 55,300","Rp 315,000",-82%,1,Business & Self-Help,http://www.periplus.com/p/9781394183999/500-great-ways-to-save-for-dummies?path=1_13
The Stoic Capitalist: Advice for the Exceptionally...,"Rosenkranz, Robert",Hardcover,"Rp 478,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781399423236/the-stoic-capitalist-advice-for-the-exceptionally-ambitious?path=1_13
Raising Brows tpb US,"Soare, Anastasia",Paperback,"Rp 188,300","Rp 350,000",-46%,1,Business & Self-Help,http://www.periplus.com/p/9798217181377/raising-brows-tpb-us?path=1_13
Generative Ai: The Insights You Need from Harvard ...,"Review, Harvard Business",Paperback,"Rp 428,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781647826390/generative-ai-the-insights-you-need-from-harvard-business-review?path=1_13
How to Interpret Data: Using Data to Improve Your ...,"Kelly, Nicholas",Paperback,"Rp 275,000",,,1,Business & Self-Help,http://www.periplus.com/p/9781398619746/how-to-interpret-data-using-data-to-improve-your-influence-and-decision-making?path=1_13
Simple Truths of Leadership Playbook: A 52-Week Game...,"Blanchard, Ken",Hardcover,"Rp 492,000","Rp 616,000",-20%,1,Business & Self-Help,http://www.periplus.com/p/9781523006113/simple-truths-of-leadership-playbook-a-52-week-game-plan-for-becoming-a-trusted-servant-leader?path=1_13
Essentialism: The Disciplined Pursuit of Less,"McKeown, Greg",Paperback,"Rp 250,000","Rp 275,000",-9%,1,Business & Self-Help,http://www.periplus.com/p/9780804137409/essentialism-the-disciplined-pursuit-of-less?path=1_13
The 5 AM Club : Own Your Morning. Elevate Your Life...,"Sharma, Robin",Paperback,"Rp 395,000",,,1,Business & Self-Help,http://www.periplus.com/p/9780008312831/the-5-am-club-own-your-morning-elevate-your-life?path=1_13
Cozy Cuties: Coloring Book for Adults and Kids,Coco Wyo,Paperback,"Rp 168,000",,,1,Children's Books,http://www.periplus.com/p/9798217116850/cozy-cuties-coloring-book-for-adults-and-kids?path=1_14
Disney Wings of Starlight,"Saft, Allison",Paperback,"Rp 215,000",,,1,Children's Books,http://www.periplus.com/p/9781835871317/disney-wings-of-starlight?path=1_14
Count and Slide Things That Go,"Hainsby, Christie",Board Books,"Rp 218,000",,,1,Children's Books,http://www.periplus.com/p/9781836424642/count-and-slide-things-that-go?path=1_14
Bluey: Little Library,Bluey,Board Books,"Rp 150,000",,,1,Children's Books,http://www.periplus.com/p/9780241486900/bluey-little-library?path=1_14
Bluey: My Mum Is the Best,Bluey,Board Books,"Rp 175,000",,,1,Children's Books,http://www.periplus.com/p/9780241550687/bluey-my-mum-is-the-best?path=1_14
Fake Skating,"Painter, Lynn",Paperback,"Rp 205,000",,,1,Children's Books,http://www.periplus.com/p/9781398537866/fake-skating?path=1_14
"Bluey - Oooh, Shiny! A Bluey Flashlight Toy Adventure...",PI Kids,Paperback,"Rp 248,000",,,1,Children's Books,http://www.periplus.com/p/9798384600121/bluey-oooh-shiny-a-bluey-flashlight-toy-adventure-sound-book-pi-kids?path=1_14
Pop-Up Peekaboo! Frozen,DK,Board Books,"Rp 235,000",,,1,Children's Books,http://www.periplus.com/p/9780241720448/pop-up-peekaboo-frozen?path=1_14
Unicornia: Learning to Fly,"Punset, Ana",Paperback,"Rp 158,000",,,1,Children's Books,http://www.periplus.com/p/9781529519860/unicornia-learning-to-fly?path=1_14
Magnetic Play and Learn Animals,"Lambert, Nat",Hardcover,"Rp 175,000",,,1,Children's Books,http://www.periplus.com/p/9781784456207/magnetic-play-and-learn-animals?path=1_14
Disney Frozen 2 My Busy Books,by Phidal Publishing Inc. (Author),Paperback,"Rp 290,000",,,1,Children's Books,http://www.periplus.com/p/9782764349250/disney-frozen-2-my-busy-books?path=1_14
Piano Book - Twinkle Twinkle,North Parade Publishing,Paperback,"Rp 250,000",,,1,Children's Books,http://www.periplus.com/p/9781835096635/piano-book-twinkle-twinkle?path=1_14
How to be a Genius Kid,Waldo Pancake Ltd,Paperback,"Rp 265,000",,,1,Children's Books,http://www.periplus.com/p/9780571380046/how-to-be-a-genius-kid?path=1_14
Pablo and Splash: Roman Holiday,"Dempsey, Sheena",Paperback,"Rp 200,000",,,1,Children's Books,http://www.periplus.com/p/9781526662859/pablo-and-splash-roman-holiday?path=1_14
Unicornia: A Magical Birthday,"Punset, Ana",Paperback,"Rp 158,000",,,1,Children's Books,http://www.periplus.com/p/9781529520002/unicornia-a-magical-birthday?path=1_14
Rasa Sayang Pocket Sound Book-ID,,Hardcover,"Rp 199,000",,,1,Children's Books,http://www.periplus.com/p/9789811439506/rasa-sayang-pocket-sound-book-id?path=1_14
Sunrise on the Reaping,"Collins, Suzanne",Hardcover,"Rp 515,000",,,1,Children's Books,http://www.periplus.com/p/9780702340574/sunrise-on-the-reaping?path=1_14
Disney Stitch Tattle Tales,by Phidal Publishing Inc. (Editor),Paperback,"Rp 175,000",,,1,Children's Books,http://www.periplus.com/p/9782764358047/disney-stitch-tattle-tales?path=1_14
Marvel Spidey and his Amazing Friends,-,Hardcover,"Rp 275,000",,,1,Children's Books,http://www.periplus.com/p/9782764357538/marvel-spidey-and-his-amazing-friends?path=1_14
"Warriors Graphic Novel: The Prophecies Begin, Part...","Hunter, Erin",Paperback,"Rp 318,000",,,1,Children's Books,http://www.periplus.com/p/9780063203938/warriors-graphic-novel-the-prophecies-begin-part-three-of-three?path=1_14
Key Skills for Toddlers,"Priddy, Roger",Paperback,"Rp 235,000",,,1,Children's Books,http://www.periplus.com/p/9781916745223/key-skills-for-toddlers?path=1_14
Little Explorers: Science,"Ltd., Dynamo",Board Books,"Rp 248,000",,,1,Children's Books,http://www.periplus.com/p/9781800782587/little-explorers-science?path=1_14
My Busy Bk: Disney Princess,Phidal Publishing Inc,Paperback,"Rp 276,000",,,1,Children's Books,http://www.periplus.com/p/9782764371015/my-busy-bk-disney-princess?path=1_14
Dressing Up Princesses,"Thomson, Kate",Board Books,"Rp 175,000",,,1,Children's Books,http://www.periplus.com/p/9781787007048/dressing-up-princesses?path=1_14
Ocean,,Paperback,"Rp 445,000",,,1,Children's Books,http://www.periplus.com/p/9791039552158/ocean?path=1_14
Peekaboo House,"Reid, Camilla (Editorial Director)",Board Books,"Rp 180,000",,,1,Children's Books,http://www.periplus.com/p/9781788005777/peekaboo-house?path=1_14
Piano Book - Itsy Bitsy Spider,North Parade Publishing,Paperback,"Rp 250,000",,,1,Children's Books,http://www.periplus.com/p/9781835096666/piano-book-itsy-bitsy-spider?path=1_14
Unicornia: The Cupcake Contest,"Punset, Ana",Paperback,"Rp 158,000",,,1,Children's Books,http://www.periplus.com/p/9781529520019/unicornia-the-cupcake-contest?path=1_14
The Wild Robot : Now a major DreamWorks animation!,"Brown, Peter",Paperback,"Rp 180,000",,,1,Children's Books,http://www.periplus.com/p/9781800789913/the-wild-robot-now-a-major-dreamworks-animation?path=1_14
Never Thought I'd End Up Here,"Liang, Ann",Paperback,"Rp 225,000",,,1,Children's Books,http://www.periplus.com/p/9780702340949/never-thought-i-d-end-up-here?path=1_14
Foodies,"Berg, Caro Van Den",Paperback,"Rp 95,000",,,1,Children's Books,http://www.periplus.com/p/9781835555330/foodies?path=1_14
Disney Moana Tattle Tales,-,Board Books,"Rp 175,000",,,1,Children's Books,http://www.periplus.com/p/9782764370957/disney-moana-tattle-tales?path=1_14
555 Sticker Fun Sharks,"Mayes, Susan",Paperback,"Rp 165,000",,,1,Children's Books,http://www.periplus.com/p/9781835552650/555-sticker-fun-sharks?path=1_14
"Bluey: Oooh, Shiny! A Bluey Flashlight Book Sound ...",PI Kids,Board Books,"Rp 325,000",,,1,Children's Books,http://www.periplus.com/p/9798384600114/bluey-oooh-shiny-a-bluey-flashlight-book-sound-book?path=1_14
Bunny vs Monkey: The Impossible Pig (a Phoenix Comic...,"Smart, Jamie",Paperback,"Rp 265,000",,,1,Children's Books,http://www.periplus.com/p/9781788453127/bunny-vs-monkey-the-impossible-pig-a-phoenix-comic-book-from-the-multi-million-selling-creative-genius-jamie-smart?path=1_14
Disney Pixar Cars: Ka-Chow! Sound Book,PI Kids,Board Books,"Rp 258,000",,,1,Children's Books,http://www.periplus.com/p/9798384602729/disney-pixar-cars-ka-chow-sound-book?path=1_14
Where's the Spy?,"Cowan, Laura",Hardcover,"Rp 180,000",,,1,Children's Books,http://www.periplus.com/p/9781805074519/where-s-the-spy?path=1_14
